nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x ,Relbow_y,Rwrist_x,RWrist_y ,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y ,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y ,REye_x,REye_y,LEye_x,LEye_y ,REar_x,REar_y,LEar_x,Lear_y,class
0.2,0.5,0.27,0.46,0.28,0.44,0,0,0,0,0.26,0.46,0.28,0.7,0.27,0.87,0.45,0.59,0.44,0.85,0,0,0.5,0.57,0.49,0.87,0.63,0.76,0,0,0.18,0.48,0,0,0.21,0.44,0
0.2,0.5,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.26,0.46,0.28,0.7,0.27,0.87,0.45,0.59,0.44,0.83,0,0,0.5,0.54,0.49,0.87,0.63,0.76,0,0,0.18,0.48,0,0,0.21,0.44,0
0.2,0.5,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.26,0.48,0.28,0.7,0.27,0.87,0.46,0.59,0.45,0.83,0.57,0.72,0.5,0.54,0.49,0.87,0.63,0.76,0,0,0.18,0.48,0,0,0.21,0.44,0
0.2,0.5,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.26,0.48,0.28,0.7,0.27,0.87,0.46,0.59,0.45,0.83,0.59,0.7,0.5,0.54,0.49,0.87,0.63,0.76,0,0,0.18,0.48,0,0,0.21,0.44,0
0.2,0.52,0.27,0.46,0.28,0.44,0,0,0,0,0.26,0.48,0.28,0.7,0.27,0.87,0.48,0.57,0.46,0.81,0.6,0.7,0.49,0.54,0.49,0.85,0.65,0.76,0,0,0.18,0.5,0,0,0.21,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.26,0.48,0.28,0.7,0.27,0.87,0.5,0.52,0.51,0.76,0.62,0.67,0.49,0.54,0.5,0.87,0.65,0.76,0,0,0.18,0.5,0,0,0.21,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0,0,0,0,0,0,0.49,0.54,0.49,0.85,0.65,0.78,0,0,0.18,0.5,0,0,0.21,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0,0,0,0,0,0,0.49,0.54,0.5,0.85,0.66,0.76,0,0,0.18,0.5,0,0,0.2,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0.5,0.52,0.54,0.76,0.67,0.67,0.49,0.54,0.49,0.85,0.66,0.78,0,0,0.18,0.5,0,0,0.2,0.46,0
0.2,0.52,0.27,0.46,0.29,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0.5,0.5,0.54,0.76,0.66,0.76,0.49,0.54,0.5,0.87,0,0,0,0,0.18,0.5,0,0,0.2,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0.5,0.5,0.56,0.74,0.71,0.67,0.49,0.54,0.5,0.87,0,0,0,0,0.18,0.5,0,0,0.2,0.46,0
0.2,0.52,0.27,0.46,0.29,0.44,0.32,0.65,0.29,0.81,0.24,0.48,0.28,0.7,0.27,0.87,0.5,0.5,0.57,0.74,0.72,0.7,0.49,0.54,0.5,0.87,0.66,0.78,0,0,0.18,0.5,0,0,0.2,0.46,0
0.2,0.52,0.27,0.46,0.29,0.44,0.32,0.65,0.29,0.81,0.26,0.48,0.28,0.7,0.27,0.87,0.51,0.5,0.57,0.72,0.73,0.7,0.49,0.54,0.5,0.87,0.66,0.78,0,0,0.18,0.5,0,0,0.21,0.46,0
0.2,0.52,0.27,0.46,0.28,0.44,0.32,0.65,0.29,0.81,0.26,0.46,0.28,0.7,0.27,0.87,0.51,0.5,0.59,0.72,0.74,0.7,0.49,0.54,0.5,0.87,0.66,0.78,0,0,0.18,0.5,0,0,0.21,0.46,0
0.4,1.5,0.7,1.31,0,0,0,0,0,0,0.73,0.98,1.1,0.91,0.81,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.57,0.33,1.37,0,0,0.4,1.24,0
0.4,1.5,0.73,1.31,0,0,0,0,0,0,0.77,0.98,1.13,0.91,0.84,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.5,0.37,1.44,0,0,0.44,1.24,0
0,0,0.95,1.17,0,0,0,0,0,0,0.95,0.98,1.35,0.91,1.02,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,1.31,0
0.7,1.63,0.99,1.17,0,0,0,0,0,0,0.99,0.98,1.39,0.91,1.06,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1.5,0,0,0,0,0,0,0
0,0,1.02,1.17,0,0,0,0,0,0,1.02,0.98,1.43,0.91,1.1,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.31,0
0.77,1.57,1.06,1.17,0,0,0,0,0,0,1.06,0.98,1.46,0.91,1.13,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.44,0,0,0.81,1.31,0
0.81,1.57,1.1,1.17,0,0,0,0,0,0,1.1,0.98,1.5,0.91,1.17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0.73,1.5,0.73,1.5,0,0,0.81,1.24,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.6,0.49,0.75,0.52,0.73,0.78,0.92,0.82,0,0,0.75,0.65,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.82,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.6,0.49,0.75,0.52,0.73,0.78,0.92,0.82,0,0,0.75,0.65,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.6,0.49,0.75,0.52,0.73,0.78,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.91,0.44,0.56,0.6,0.49,0.75,0.52,0.73,0.78,0.92,0.82,0,0,0.75,0.65,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.91,0.44,0.56,0.6,0.49,0.75,0.49,0.73,0.78,0.92,0.82,0,0,0.75,0.65,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.91,0.44,0.56,0.6,0.49,0.75,0.49,0.73,0.78,0.92,0.82,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.69,0.44,0.88,0.6,0.95,0.75,0.91,0.44,0.56,0.6,0.49,0.75,0.49,0.73,0.78,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.69,0.44,0.88,0.6,0.95,0.75,0.91,0.44,0.56,0.6,0.49,0.75,0.49,0.73,0.78,0.9,0.82,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.69,0.44,0.88,0.6,0.95,0.73,0.91,0.44,0.56,0.6,0.49,0.73,0.49,0.73,0.78,0.9,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.69,0.44,0.88,0.6,0.95,0.73,0.95,0.44,0.56,0.59,0.49,0.73,0.49,0,0,0,0,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.73,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0.73,0.78,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0.73,0.78,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.31,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0.73,0.78,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.31,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.31,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.42,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.31,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.44,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0,0,0,0,0.31,0.72,0.31,0.65,0.31,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.75,0.62,0.9,0.62,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0,0,0,0,0,0,0.73,0.62,0.9,0.82,0,0,0.31,0.72,0.31,0.65,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0.75,0.75,0.9,0.82,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.82,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0.73,0.75,0.9,0.82,0,0,0.73,0.62,0.92,0.59,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.42,0.69,0.44,0.88,0.6,0.95,0.75,0.95,0.42,0.56,0.59,0.46,0.73,0.49,0.73,0.75,0.92,0.82,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.69,0.33,0.78,0.33,0.62,0
0.33,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.98,0.44,0.56,0.59,0.49,0.73,0.49,0.73,0.75,0.92,0.82,0,0,0.75,0.62,0.92,0.62,0,0,0.31,0.75,0.31,0.65,0.33,0.78,0.33,0.62,0
0.35,0.72,0.44,0.72,0.44,0.88,0.6,0.95,0.75,0.98,0.44,0.56,0.59,0.49,0.75,0.49,0.73,0.75,0.92,0.82,0,0,0.73,0.62,0.92,0.62,0,0,0.33,0.75,0.33,0.65,0.33,0.78,0.33,0.62,0
0.42,0.58,0.43,0.81,0.36,0.75,0.29,1.04,0.3,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.37,1.28,0.36,1.68,0.36,1.86,0.49,1.33,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.81,0.36,0.75,0.29,1.04,0.3,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.37,1.28,0.36,1.68,0.36,1.86,0.49,1.33,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.81,0.36,0.75,0.29,1.04,0.3,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.37,1.28,0.36,1.68,0.36,1.86,0.49,1.33,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.75,0.36,0.75,0.29,1.04,0.31,1.33,0.49,0.75,0.56,1.04,0.55,1.33,0.37,1.33,0.36,1.68,0.36,1.86,0.48,1.28,0.48,1.74,0.48,1.86,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.81,0.36,0.75,0.3,1.04,0.31,1.33,0.49,0.75,0.56,1.04,0.55,1.28,0.36,1.28,0.38,1.45,0.36,1.86,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.81,0.36,0.75,0.3,1.04,0.31,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.36,1.28,0.37,1.45,0,0,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.42,0.58,0.43,0.81,0.36,0.75,0.3,1.04,0.31,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.36,1.28,0.37,1.45,0,0,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.43,0.58,0.43,0.75,0.36,0.75,0.3,1.04,0.31,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.36,1.28,0.37,1.45,0.36,1.86,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
0.43,0.58,0.43,0.75,0.37,0.75,0.3,1.04,0.31,1.28,0.49,0.75,0.56,0.99,0.55,1.28,0.37,1.28,0,0,0,0,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.39,0.58,0.47,0.58,0
0.43,0.58,0.43,0.75,0.36,0.75,0.3,1.04,0.31,1.33,0.5,0.75,0.56,0.99,0.55,1.28,0.35,1.28,0.38,1.39,0.36,1.86,0,0,0,0,0,0,0.41,0.52,0.44,0.52,0.39,0.58,0.48,0.58,0
0.5,0.22,0.5,0.28,0.43,0.28,0.34,0.39,0.35,0.48,0.59,0.28,0.66,0.37,0.65,0.48,0.42,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.5,0.22,0.5,0.28,0.43,0.28,0.34,0.39,0.35,0.48,0.57,0.28,0.66,0.35,0.65,0.48,0.42,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.5,0.22,0.5,0.28,0.43,0.28,0.34,0.39,0.35,0.48,0.57,0.28,0.66,0.35,0.65,0.48,0.42,0.5,0.42,0.63,0.43,0.72,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.5,0.22,0.5,0.28,0.43,0.28,0.35,0.39,0.37,0.5,0.59,0.28,0.66,0.37,0.65,0.48,0.42,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.51,0.22,0.51,0.31,0.43,0.28,0.35,0.39,0.37,0.5,0.59,0.28,0.66,0.39,0.65,0.5,0.43,0.48,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.46,0.22,0.56,0.22,0
0.5,0.22,0.51,0.28,0.43,0.28,0.35,0.39,0.37,0.48,0.59,0.28,0.66,0.37,0.65,0.5,0.43,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.5,0.22,0.51,0.31,0.43,0.28,0.35,0.39,0.37,0.48,0.59,0.28,0.66,0.37,0.65,0.48,0.43,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.45,0.22,0.56,0.22,0
0.51,0.22,0.51,0.28,0.44,0.28,0.35,0.39,0.37,0.48,0.59,0.28,0.66,0.37,0.65,0.48,0.43,0.48,0.43,0.65,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.46,0.22,0.56,0.22,0
0.51,0.22,0.51,0.28,0.44,0.28,0.35,0.39,0.37,0.5,0.59,0.28,0.66,0.35,0.65,0.48,0.43,0.48,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.52,0.2,0.46,0.22,0.56,0.22,0
0.51,0.22,0.51,0.28,0.44,0.28,0.35,0.39,0.37,0.48,0.59,0.28,0.66,0.37,0.65,0.48,0.43,0.48,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.54,0.2,0.46,0.22,0.57,0.22,0
0.51,0.22,0.51,0.28,0.44,0.28,0.35,0.37,0.37,0.48,0.59,0.28,0.66,0.37,0.65,0.48,0.44,0.48,0.43,0.63,0.43,0.7,0.56,0.48,0.57,0.63,0.59,0.7,0.49,0.2,0.54,0.2,0.46,0.22,0.57,0.22,0
0.51,0.22,0.51,0.28,0.44,0.28,0.35,0.37,0.37,0.48,0.6,0.28,0.66,0.37,0.65,0.48,0.44,0.48,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.54,0.2,0.46,0.22,0.57,0.22,0
0.51,0.22,0.51,0.28,0.43,0.28,0.35,0.39,0.35,0.48,0.6,0.28,0.66,0.37,0.66,0.48,0.43,0.5,0.43,0.63,0.43,0.7,0,0,0,0,0,0,0.49,0.2,0.54,0.2,0.46,0.22,0.57,0.22,0
0.15,0.72,0.25,0.72,0.25,0.88,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.75,0.12,0.69,0,0,0.15,0.62,0
0.14,0.72,0.25,0.72,0.25,0.88,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.75,0.12,0.69,0,0,0.15,0.62,0
0.15,0.72,0.25,0.72,0.25,0.88,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.52,0,0,0,0,0,0,0.55,0.65,0.74,0.62,0,0,0.14,0.75,0.14,0.65,0.14,0.78,0.15,0.62,0
0.15,0.72,0.25,0.69,0.25,0.88,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.49,0,0,0,0,0,0,0.55,0.65,0,0,0,0,0.14,0.75,0.14,0.65,0.14,0.78,0.15,0.62,0
0.15,0.72,0.25,0.69,0.25,0.85,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.49,0,0,0,0,0,0,0.55,0.65,0,0,0,0,0.12,0.75,0.12,0.65,0.14,0.78,0.15,0.62,0
0.15,0.72,0.25,0.72,0.25,0.85,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.49,0,0,0,0,0,0,0.55,0.65,0,0,0,0,0.12,0.75,0.12,0.65,0.14,0.78,0.15,0.62,0
0.14,0.72,0.25,0.69,0.25,0.85,0.41,0.95,0.56,0.95,0.25,0.56,0.41,0.49,0.56,0.49,0,0,0,0,0,0,0.55,0.65,0,0,0,0,0.12,0.75,0.12,0.65,0.14,0.78,0.15,0.62,0
0.42,0.22,0.42,0.28,0.35,0.28,0.29,0.39,0.3,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.36,0.5,0.36,0.65,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.42,0.22,0.42,0.28,0.35,0.28,0.29,0.39,0.3,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.36,0.5,0.36,0.65,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.42,0.22,0.42,0.28,0.35,0.28,0.29,0.39,0.3,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.36,0.5,0.36,0.65,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.42,0.22,0.42,0.28,0.36,0.28,0.29,0.39,0.3,0.5,0.49,0.28,0.56,0.39,0.55,0.48,0.35,0.5,0.36,0.63,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.43,0.22,0.42,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.39,0.55,0.5,0.36,0.5,0.38,0.54,0,0,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.39,0.22,0.47,0.22,0
0.43,0.22,0.42,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.35,0.5,0.38,0.54,0,0,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.43,0.22,0.42,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.36,0.5,0.36,0.63,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.43,0.22,0.42,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.35,0.48,0.38,0.52,0.36,0.7,0.49,0.48,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.43,0.22,0.42,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.36,0.48,0.37,0.52,0,0,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.38,0.22,0.47,0.22,0
0.43,0.22,0.43,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.35,0.48,0.37,0.52,0.36,0.7,0,0,0,0,0,0,0.41,0.2,0.44,0.2,0.39,0.22,0.47,0.22,0
0.43,0.22,0.43,0.28,0.36,0.28,0.3,0.39,0.31,0.5,0.49,0.28,0.56,0.37,0.55,0.48,0.35,0.48,0.38,0.52,0.36,0.7,0,0,0,0,0,0,0.42,0.2,0.44,0.2,0.39,0.22,0.47,0.22,0
0.42,0.58,0.42,0.81,0.36,0.75,0.29,1.04,0.3,1.33,0.49,0.75,0.56,0.99,0.55,1.28,0.36,1.33,0.36,1.68,0.36,1.86,0.49,1.39,0,0,0,0,0.41,0.52,0.44,0.52,0.38,0.58,0.47,0.58,0
